sistema,faixa,registro,texto,primeiros_passos,fonte,status
metabolico,alto,paciente,Este terreno está bem hoje.,Seguir com o que já está funcionando.,rascunho 13/09,rascunho
detox_linfatico,baixo,nutri,"O Detox + Linfático é o terreno mais carregado deste mapa: o que entra não está saindo na mesma medida — retenção, intestino lento, e sensibilidade aumentada a cheiro, álcool e medicamento. O padrão emocional associado é acúmulo de mágoas e emoções não processadas.","Priorizar este sistema. Conferir hábito intestinal de verdade, água, e a que exatamente a paciente reage. Sensibilidade forte a medicamento é assunto de quem prescreve.",rascunho 13/09,rascunho
detox_linfatico,baixo,paciente,"Há acúmulo — e ele aparece tanto no corpo, no inchaço e no intestino, quanto no que ficou sem ser dito ou resolvido.",Reparar no inchaço ao longo do dia e no que muda quando a semana é mais corrida.,rascunho 13/09,rascunho
detox_linfatico,medio,nutri,O Detox + Linfático tem sinais presentes sem dominar o quadro. Vale conferir retenção e sensibilidade a odores.,Verificar retenção e sensibilidade a odores.,rascunho 13/09,rascunho
detox_linfatico,medio,paciente,Seu corpo está acumulando um pouco mais do que consegue eliminar.,Observar o inchaço ao longo do dia.,rascunho 13/09,rascunho
detox_linfatico,alto,nutri,O Detox + Linfático está equilibrado hoje.,Manter observação.,rascunho 13/09,rascunho
detox_linfatico,alto,paciente,Este terreno está bem hoje.,Seguir com o que já está funcionando.,rascunho 13/09,rascunho
mental_emocional_espiritual,baixo,nutri,"O Mental-Emocional-Espiritual é o terreno mais carregado deste mapa: sono, estado de alerta e a narrativa interna aparecem juntos. É o sistema que descreve em que estado a paciente chega para tudo o mais — e por isso costuma sustentar os outros quatro.","Priorizar este sistema, e conduzir os outros a partir dele. Investigar a rotina das duas horas antes de dormir. Sofrimento mental com isolamento pede avaliação em saúde mental, em paralelo ao nutricional.",rascunho 13/09,rascunho
mental_emocional_espiritual,baixo,paciente,"O que aparece aqui não é falta de disciplina: é o estado em que você tem chegado para o dia. O sono, o alerta constante e o jeito como você fala consigo mesma estão sustentando o resto.","Reparar no que passa pela sua cabeça na hora de dormir, e em que frase você diz a si mesma quando algo não sai como queria.",rascunho 13/09,rascunho
mental_emocional_espiritual,medio,nutri,O Mental-Emocional-Espiritual tem sinais presentes sem dominar o quadro. Vale conferir a narrativa interna e a qualidade do sono.,Verificar narrativa interna e qualidade do sono.,rascunho 13/09,rascunho
mental_emocional_espiritual,medio,paciente,Sua mente tem trabalhado mais do que descansado.,Observar como você fala consigo mesma durante o dia.,rascunho 13/09,rascunho
mental_emocional_espiritual,alto,nutri,O Mental-Emocional-Espiritual está equilibrado hoje.,Manter observação.,rascunho 13/09,rascunho
mental_emocional_espiritual,alto,paciente,Este terreno está bem hoje.,Seguir com o que já está funcionando.,rascunho 13/09,rascunho
