id,sintoma,sinonimos,sistema,peso,escala,sentido,pergunta,aprofundar,chacra,territorio,fonte,status
SNT-204,queimação estomacal,azia;refluxo;queimação no peito,acido_inflamatorio,2,frequencia,direto,Você sente azia ou queimação no estômago?,"Acontece mais com quais alimentos, em que horário, e em dias de mais tensão?",plexo_solar,corpo,rascunho-literatura-funcional,rascunho
SNT-205,dor de cabeça frequente,cefaleia;enxaqueca,acido_inflamatorio,2,frequencia,direto,Você tem dor de cabeça mais de uma vez por semana?,"Em que parte da cabeça, em que dias da semana, e o que costuma vir antes?",frontal,sistema_nervoso,rascunho-literatura-funcional,rascunho
SNT-206,pele inflamada,acne inflamatória;eczema;psoríase,acido_inflamatorio,2,frequencia,direto,"Sua pele tem crises de acne inflamada, eczema ou psoríase?","As crises têm relação com algum alimento, com o ciclo ou com períodos de estresse?",,corpo,rascunho-literatura-funcional,rascunho
SNT-207,gengiva que sangra,sangramento gengival;gengivite,acido_inflamatorio,2,frequencia,direto,Sua gengiva sangra ao escovar?,"Isso é recente, e como está a rotina de higiene e o último acompanhamento odontológico?",,corpo,rascunho-literatura-funcional,rascunho
SNT-208,piora clara com ultraprocessado,fica pior comendo besteira,acido_inflamatorio,2,frequencia,direto,Você percebe que piora quando come ultraprocessado ou açúcar?,O que você percebe piorando exatamente — e quanto tempo depois de comer?,,comportamento,rascunho-literatura-funcional,rascunho
SNT-209,inchaço nas mãos ao acordar,dedos inchados de manhã;anel apertando,acido_inflamatorio,2,frequencia,direto,Suas mãos ou dedos amanhecem inchados?,"Isso melhora ao longo do dia, e tem relação com sal, sono ou com o ciclo?",,corpo,rascunho-literatura-funcional,rascunho
SNT-210,marcador inflamatório alterado no exame,PCR alta;VHS alto,acido_inflamatorio,3,frequencia,direto,Seus exames costumam mostrar PCR ou VHS acima do normal?,"De quando é esse exame, e o médico que pediu já comentou alguma conduta?",,corpo,rascunho-literatura-funcional,rascunho
SNT-301,sonolência forte depois do almoço,apagão pós-almoço;sono depois de comer,metabolico,3,frequencia,direto,Você fica com muito sono logo depois do almoço?,Isso depende do que você almoçou? Descreva um almoço de um dia em que bateu forte.,,corpo,rascunho-literatura-funcional,rascunho
SNT-101,vontade intensa e recorrente de doce,fissura por açúcar;desejo de carboidrato,metabolico,3,frequencia,direto,Você sente vontade forte de doce ou pão quase todo dia?,"Em que horário do dia essa vontade costuma aparecer, e o que estava acontecendo antes?",sacral,comportamento,rascunho-literatura-funcional,rascunho
SNT-303,fome pouco tempo depois de comer,fome rápida;come e logo tem fome,metabolico,3,frequencia,direto,Você sente fome de novo pouco tempo depois de ter comido?,"Quanto tempo depois, e o que costuma ter no prato nas refeições em que isso acontece?",,corpo,rascunho-literatura-funcional,rascunho
SNT-304,compulsão ou beliscar à noite,come depois do jantar;assalta a geladeira,metabolico,3,frequencia,direto,Você come depois do jantar mesmo sem fome real?,"O que costuma acontecer na hora antes disso — como foi o dia, e você está sozinho?",sacral,comportamento,rascunho-literatura-funcional,rascunho
SNT-305,acúmulo de gordura abdominal,barriga;cintura aumentando,metabolico,3,intensidade,direto,Sua gordura se concentra na barriga?,Isso mudou em algum período específico da sua vida?,,corpo,rascunho-literatura-funcional,rascunho
SNT-306,escurecimento nas dobras da pele,acantose;pescoço escuro;axila escura,metabolico,3,intensidade,direto,A pele do seu pescoço ou axila está mais escura e aveludada?,"Há quanto tempo você percebe, e alguém da família tem diabetes?",,corpo,rascunho-literatura-funcional,rascunho
SNT-307,irritação forte se atrasa a refeição,fica mal sem comer;tremor;hipoglicemia,metabolico,2,frequencia,direto,Você fica irritado ou trêmulo se atrasa uma refeição?,"Quanto tempo sem comer até isso aparecer, e como costumam ser seus intervalos?",plexo_solar,corpo,rascunho-literatura-funcional,rascunho
SNT-308,dificuldade de perder peso mesmo comendo pouco,peso empacado,metabolico,2,intensidade,direto,Você tem dificuldade de perder peso mesmo comendo pouco?,"Como é um dia alimentar típico seu, do café ao último horário?",,comportamento,rascunho-literatura-funcional,rascunho
SNT-309,triglicerídeos altos ou HDL baixo,alteração no lipidograma,metabolico,3,frequencia,direto,Seus exames costumam mostrar triglicerídeos altos ou HDL baixo?,"De quando é esse exame, e houve alguma mudança de rotina ou de peso desde então?",,corpo,rascunho-literatura-funcional,rascunho
SNT-501,sono não reparador,acorda cansado;dorme mas não descansa,metabolico,2,frequencia,direto,Você acorda cansado mesmo dormindo as horas necessárias?,"Quantas horas você dorme, e como está o sono nos dias em que acorda pior?",,sistema_nervoso,rascunho-literatura-funcional,rascunho
SNT-401,retenção de líquido,inchaço em pernas e pés;perna pesada,detox_linfatico,3,frequencia,direto,Você percebe inchaço nas pernas ou nos pés no fim do dia?,"Piora em dias de mais tempo em pé, de mais sal, ou em alguma fase do ciclo?",raiz,corpo,rascunho-literatura-funcional,rascunho
SNT-402,rosto inchado ao acordar,face inchada de manhã,detox_linfatico,2,frequencia,direto,Seu rosto amanhece inchado?,"Isso é todo dia, e tem relação com o que você jantou ou com a hora que dormiu?",,corpo,rascunho-literatura-funcional,rascunho
SNT-403,intolerância a cheiros fortes,enjoo com perfume;produto de limpeza incomoda,detox_linfatico,3,frequencia,direto,Cheiros fortes te incomodam mais do que incomodam as outras pessoas?,"Quais cheiros, e o que você sente exatamente quando isso acontece?",,sistema_nervoso,rascunho-literatura-funcional,rascunho
SNT-404,mal-estar com alimento gorduroso,enjoo com fritura;peso depois de gordura,detox_linfatico,2,frequencia,direto,Comida gordurosa te faz passar mal ou pesa muito?,"Quais alimentos especificamente, e quanto tempo depois o mal-estar aparece?",plexo_solar,corpo,rascunho-literatura-funcional,rascunho
SNT-405,intestino preso,constipação;evacua a cada dois dias ou mais,detox_linfatico,3,frequencia,direto,Você passa um dia ou mais sem evacuar?,"Como é quando acontece — e isso muda em viagem, em semanas corridas, ou com pouca água?",raiz,corpo,rascunho-literatura-funcional,rascunho
SNT-406,ressaca intensa com pouco álcool,fica mal no dia seguinte,detox_linfatico,2,frequencia,direto,Uma taça já te dá ressaca no dia seguinte?,Isso sempre foi assim ou mudou em algum momento?,,corpo,rascunho-literatura-funcional,rascunho
SNT-407,sensibilidade a medicamento ou cafeína,reage forte a remédio;café tira o sono,detox_linfatico,2,frequencia,direto,Você reage muito forte a medicamento ou a café?,"Com quais, e o que você sente que é diferente das outras pessoas?",,corpo,rascunho-literatura-funcional,rascunho
SNT-408,pele opaca e olheiras,pele sem viço;olheiras fundas,detox_linfatico,2,intensidade,direto,Sua pele está opaca ou com olheiras marcadas?,Isso acompanha as noites mal dormidas ou está assim de forma constante?,,corpo,rascunho-literatura-funcional,rascunho
SNT-409,odor corporal forte,suor com odor forte,detox_linfatico,2,frequencia,direto,Seu suor tem odor forte?,"Isso mudou em algum período, e tem relação com o que você tem comido?",,corpo,rascunho-literatura-funcional,rascunho
SNT-410,celulite acentuada,pele em casca de laranja,detox_linfatico,1,intensidade,direto,Você tem celulite acentuada?,"Isso mudou junto com peso, rotina de movimento ou alguma fase da vida?",sacral,corpo,rascunho-literatura-funcional,rascunho
SNT-501,sono não reparador,acorda cansado;dorme mas não descansa,mental_emocional_espiritual,3,frequencia,direto,Você acorda cansado mesmo dormindo as horas necessárias?,"Quantas horas você dorme, e como está o sono nos dias em que acorda pior?",,sistema_nervoso,rascunho-literatura-funcional,rascunho
SNT-502,dificuldade de dormir por pensamento acelerado,mente não desliga;cabeça a mil na cama,mental_emocional_espiritual,3,frequencia,direto,Você demora a dormir porque a cabeça não desliga?,"O que costuma passar na sua cabeça nessa hora, e o que você faz enquanto não dorme?",frontal,sistema_nervoso,rascunho-literatura-funcional,rascunho
SNT-503,despertar de madrugada,acorda entre 3 e 5 da manhã,mental_emocional_espiritual,2,frequencia,direto,Você acorda de madrugada e custa a voltar a dormir?,"Que horas costuma ser, e o que você sente ao acordar — susto, calor, preocupação?",,sistema_nervoso,rascunho-literatura-funcional,rascunho
SNT-504,ansiedade antecipatória,preocupação com o que ainda não aconteceu,mental_emocional_espiritual,3,frequencia,direto,Você se preocupa muito com coisas que ainda nem aconteceram?,"Preocupação com o quê, principalmente? E o que costuma acalmar quando aperta?",raiz,sistema_nervoso,rascunho-literatura-funcional,rascunho
SNT-505,comer para acalmar emoção,come quando fica ansioso ou triste,mental_emocional_espiritual,3,frequencia,direto,Você come para se acalmar quando fica ansioso ou triste?,"Que emoção costuma vir antes, e o que você procura comer nessas horas?",sacral,comportamento,livro p. 90 (Trava do Trauma Alimentar),rascunho
SNT-506,estado de alerta constante,sempre tenso;esperando algo dar errado,mental_emocional_espiritual,3,frequencia,direto,Você sente que está sempre em alerta esperando algo dar errado?,"Desde quando você se sente assim, e existe algum lugar ou momento em que isso afrouxa?",raiz,sistema_nervoso,rascunho-literatura-funcional,rascunho
SNT-507,não percebe fome nem saciedade,come por horário;não escuta o corpo,mental_emocional_espiritual,3,frequencia,invertido,Você consegue perceber quando está com fome e quando já está satisfeito?,"Como você costuma decidir que é hora de comer, e como decide que é hora de parar?",,comportamento,livro p. 91 (Trava da Desconexão Corpo-Mente),rascunho
SNT-508,dificuldade de concentração,mente dispersa;névoa mental,mental_emocional_espiritual,2,frequencia,direto,Você tem dificuldade de manter o foco em uma tarefa?,"Isso é pior em algum horário, e como está o sono nos dias de mais dispersão?",frontal,sistema_nervoso,rascunho-literatura-funcional,rascunho
SNT-509,irritabilidade,pavio curto;perde a paciência fácil,mental_emocional_espiritual,2,frequencia,direto,Você perde a paciência com facilidade?,"Com quem e em que situações isso acontece mais, e como você costuma ficar depois?",plexo_solar,sistema_nervoso,rascunho-literatura-funcional,rascunho
SNT-510,afastamento das pessoas,isolamento;evita convite,mental_emocional_espiritual,2,frequencia,direto,Você tem se afastado das pessoas?,"Desde quando, e o que costuma te fazer recusar um convite?",cardiaco,comportamento,rascunho-literatura-funcional,rascunho
